run_id,city,status,elapsed_s,host,exists_roads,exists_intersections,exists_natural,error
ils-20260115_041620-80b3fcad,Camacari__Brazil,PARTIAL,336.107,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Camaguey__Cuba,PARTIAL,326.502,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Campeche__Mexico,PARTIAL,326.397,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Campina_Grande__Brazil,PARTIAL,326.414,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Campinas__Brazil,OK,4626.93,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Campo_Grande__Brazil,OK,796.969,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Campos_dos_Goytacazes__Brazil,OK,285.687,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Cancun__Mexico,PARTIAL,15.637,ip-10-0-195-225,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cap_Haitien__Haiti,OK,178.984,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Cape_Coast__Ghana,OK,62.37,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Cape_Town__South_Africa,OK,3604.993,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Caracas__Venezuela,OK,657.657,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Cardenas__Mexico,PARTIAL,22.924,ip-10-0-204-197,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Carora__Venezuela,OK,58.777,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Cartagena__Colombia,PARTIAL,135.655,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cartago__Colombia,PARTIAL,335.822,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cartago__Costa_Rica,PARTIAL,330.245,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Caruaru__Brazil,OK,184.724,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Carupano__Venezuela,OK,192.928,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Cascavel__Brazil,OK,412.156,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Castanhal__Brazil,OK,257.829,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Catanduva__Brazil,OK,260.4,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Catia_La_Mar__Venezuela,PARTIAL,326.303,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Caxias__Brazil,OK,111.721,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Caxias_do_Sul__Brazil,PARTIAL,327.509,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cazombo__Angola,PARTIAL,327.502,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Ceilandia__Brazil,PARTIAL,327.5,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Celaya__Mexico,PARTIAL,325.63,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chaguanas__Trinidad_and_Tobago,OK,73.229,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Chapeco__Brazil,PARTIAL,347.24,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Charallave__Venezuela,OK,94.435,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Chetumal__Mexico,PARTIAL,6.89,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chia__Colombia,OK,159.149,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Chiclayo__Peru,OK,625.056,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Chiguayante__Chile,OK,70.079,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Chihuahua__Mexico,OK,618.037,ip-10-0-203-35,True,True,True,
ils-20260115_041620-80b3fcad,Chillan__Chile,PARTIAL,325.321,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chilpancingo__Mexico,PARTIAL,327.505,ip-10-0-198-112,False,False,True,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chimaltenango__Guatemala,OK,59.593,ip-10-0-207-26,True,True,True,
ils-20260115_041620-80b3fcad,Chimbote__Peru,PARTIAL,22.111,ip-10-0-207-26,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chimoio__Mozambique,PARTIAL,327.481,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chinandega__Nicaragua,PARTIAL,327.634,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Chincha_Alta__Peru,OK,176.056,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Chingola__Zambia,OK,105.01,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Chipata__Zambia,OK,30.126,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Chiro__Ethiopia,PARTIAL,87.886,ip-10-0-204-197,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Choluteca__Honduras,PARTIAL,393.051,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Choma__Zambia,OK,217.62,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Ciego_de_Avila__Cuba,PARTIAL,328.721,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cienfuegos__Cuba,PARTIAL,344.14,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cinkasse__Burkina_Faso,PARTIAL,329.634,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,City_of_Loja__Ecuador,OK,237.521,ip-10-0-203-245,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Acuna__Mexico,OK,348.26,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Bolivar__Venezuela,OK,285.759,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Guayana__Venezuela,PARTIAL,328.583,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Ciudad_Obregon__Mexico,OK,301.97,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Ojeda__Venezuela,OK,112.831,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Valles__Mexico,OK,39.947,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Ciudad_Victoria__Mexico,PARTIAL,326.261,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Ciudad_del_Carmen__Mexico,PARTIAL,327.581,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Ciudad_del_Este__Paraguay,PARTIAL,326.374,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Coatzacoalcos__Mexico,PARTIAL,359.224,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Coban__Guatemala,OK,63.888,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Cochabamba__Bolivia,PARTIAL,417.524,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Colan__Panama,OK,92.251,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Colima__Mexico,OK,384.683,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Colina_de_Laranjeiras__Brazil,OK,569.504,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Comayagua__Honduras,OK,143.421,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Comitan__Mexico,OK,260.152,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Comodoro_Rivadavia__Argentina,OK,189.732,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Conakry__Guinea,PARTIAL,327.523,ip-10-0-194-49,False,False,True,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Concepcion__Chile,PARTIAL,327.504,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Concordia__Argentina,PARTIAL,530.864,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Conselheiro_Lafaiete__Brazil,PARTIAL,539.894,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Copiapo__Chile,OK,145.566,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Cordoba__Argentina,PARTIAL,329.631,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cordoba__Mexico,PARTIAL,329.628,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Coro__Venezuela,OK,130.282,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Coronel_Fabriciano__Brazil,OK,116.379,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Coronel__Chile,OK,95.601,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Corrientes__Argentina,OK,227.017,ip-10-0-197-151,True,True,True,
ils-20260115_041620-80b3fcad,Corumba__Brazil,PARTIAL,326.258,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cotonou__Benin,PARTIAL,326.246,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Criciuma__Brazil,OK,580.87,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Cua__Venezuela,PARTIAL,327.522,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cuauhtemoc__Mexico,PARTIAL,331.536,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cuautla__Mexico,OK,613.687,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Cubal__Angola,OK,105.269,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Cucuta__Colombia,OK,467.006,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Cuenca__Ecuador,OK,215.234,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Cuernavaca__Mexico,OK,1569.091,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Cuiaba__Brazil,OK,1798.706,ip-10-0-194-125,True,True,True,
ils-20260115_041620-80b3fcad,Culiacan__Mexico,OK,896.318,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Cumana__Venezuela,OK,327.53,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Curico__Chile,OK,312.261,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Curitiba__Brazil,PARTIAL,327.494,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Cusco__Peru,PARTIAL,327.444,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dadaab__Kenya,PARTIAL,330.193,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dakar__Senegal,OK,677.22,ip-10-0-198-112,True,True,True,
ils-20260115_041620-80b3fcad,Daloa__Cote_d_Ivoire,PARTIAL,330.095,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Damaturu__Nigeria,PARTIAL,327.291,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dambarta__Nigeria,PARTIAL,13.995,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dambidollo__Ethiopia,PARTIAL,536.553,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Damboa__Nigeria,PARTIAL,4.603,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dapaong__Togo,OK,694.534,ip-10-0-203-35,True,True,True,
ils-20260115_041620-80b3fcad,Dar_es_Salaam__Tanzania,OK,3392.997,ip-10-0-203-35,True,True,True,
ils-20260115_041620-80b3fcad,Dasgahbur__Ethiopia,OK,136.3,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Daura__Nigeria,PARTIAL,5.942,ip-10-0-204-197,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,David__Panama,PARTIAL,331.095,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Debark__Ethiopia,PARTIAL,327.566,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Debre_Birhan__Ethiopia,OK,108.561,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Debre_Markos__Ethiopia,OK,223.655,ip-10-0-195-225,True,True,True,
ils-20260115_041620-80b3fcad,Delicias__Mexico,OK,414.455,ip-10-0-199-206,True,True,True,
ils-20260115_041620-80b3fcad,Demba__Democratic_Republic_of_the_Congo,PARTIAL,327.901,ip-10-0-199-206,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dessie__Ethiopia,PARTIAL,331.597,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dikwa__Nigeria,PARTIAL,446.277,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dilla__Ethiopia,PARTIAL,327.777,ip-10-0-194-49,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dilolo__Democratic_Republic_of_the_Congo,OK,7.737,ip-10-0-194-49,True,True,True,
ils-20260115_041620-80b3fcad,Diourbel__Senegal,OK,401.729,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Dire_Dawa__Ethiopia,OK,176.612,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Divinopolis__Brazil,PARTIAL,536.515,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Divo__Cote_d_Ivoire,PARTIAL,327.841,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Djibouti__Djibouti,PARTIAL,326.102,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Djougou__Benin,PARTIAL,326.979,ip-10-0-203-245,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Doba__Chad,PARTIAL,393.107,ip-10-0-198-112,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dodolla__Ethiopia,PARTIAL,23.246,ip-10-0-204-197,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Dodoma__Tanzania,OK,857.85,ip-10-0-204-197,True,True,True,
ils-20260115_041620-80b3fcad,Dogondoutchi__Niger,PARTIAL,327.591,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
ils-20260115_041620-80b3fcad,Doka_Ashafa__Nigeria,PARTIAL,327.494,ip-10-0-203-35,False,False,False,Some expected outputs missing after run
